Brand,Model,Year,Engine_Type,Price,Year_norm,Price_norm
Chevrolet,Chevrolet,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet,2013.0,Inline 3 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Petrol,2013.0,Inline 6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Petrol,2013.0,V8 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Petrol,2013.0,Inline 4 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Petrol,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Petrol,2013.0,Inline 3 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009.0,Inline 6 cylinder ,425000.0,0.9945544554455445,0.05214723926380368
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009.0,V8 cylinder ,425000.0,0.9945544554455445,0.05214723926380368
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009.0,Inline 4 cylinder ,425000.0,0.9945544554455445,0.05214723926380368
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009.0,V6 cylinder ,425000.0,0.9945544554455445,0.05214723926380368
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2009.0,Inline 3 cylinder ,425000.0,0.9945544554455445,0.05214723926380368
Chevrolet,Chevrolet Sail 1.2 Base,2004.0,Inline 6 cylinder ,260000.0,0.9920792079207921,0.03190184049079755
Chevrolet,Chevrolet Sail 1.2 Base,2004.0,V8 cylinder ,260000.0,0.9920792079207921,0.03190184049079755
Chevrolet,Chevrolet Sail 1.2 Base,2004.0,Inline 4 cylinder ,260000.0,0.9920792079207921,0.03190184049079755
Chevrolet,Chevrolet Sail 1.2 Base,2004.0,V6 cylinder ,260000.0,0.9920792079207921,0.03190184049079755
Chevrolet,Chevrolet Sail 1.2 Base,2004.0,Inline 3 cylinder ,260000.0,0.9920792079207921,0.03190184049079755
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2008.0,Inline 6 cylinder ,400000.0,0.994059405940594,0.049079754601226995
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2008.0,V8 cylinder ,400000.0,0.994059405940594,0.049079754601226995
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2008.0,Inline 4 cylinder ,400000.0,0.994059405940594,0.049079754601226995
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2008.0,V6 cylinder ,400000.0,0.994059405940594,0.049079754601226995
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2008.0,Inline 3 cylinder ,400000.0,0.994059405940594,0.049079754601226995
Chevrolet,Chevrolet Beat LT,2009.0,Inline 6 cylinder ,120000.0,0.9945544554455445,0.014723926380368098
Chevrolet,Chevrolet Beat LT,2009.0,V8 cylinder ,120000.0,0.9945544554455445,0.014723926380368098
Chevrolet,Chevrolet Beat LT,2009.0,Inline 4 cylinder ,120000.0,0.9945544554455445,0.014723926380368098
Chevrolet,Chevrolet Beat LT,2009.0,V6 cylinder ,120000.0,0.9945544554455445,0.014723926380368098
Chevrolet,Chevrolet Beat LT,2009.0,Inline 3 cylinder ,120000.0,0.9945544554455445,0.014723926380368098
Chevrolet,Chevrolet,2014.0,Inline 6 cylinder ,239000.0,0.997029702970297,0.02932515337423313
Chevrolet,Chevrolet,2014.0,V8 cylinder ,239000.0,0.997029702970297,0.02932515337423313
Chevrolet,Chevrolet,2014.0,Inline 4 cylinder ,239000.0,0.997029702970297,0.02932515337423313
Chevrolet,Chevrolet,2014.0,V6 cylinder ,239000.0,0.997029702970297,0.02932515337423313
Chevrolet,Chevrolet,2014.0,Inline 3 cylinder ,239000.0,0.997029702970297,0.02932515337423313
Chevrolet,Chevrolet Spark 1.0 LS,2009.0,Inline 6 cylinder ,99000.0,0.9945544554455445,0.012147239263803681
Chevrolet,Chevrolet Spark 1.0 LS,2009.0,V8 cylinder ,99000.0,0.9945544554455445,0.012147239263803681
Chevrolet,Chevrolet Spark 1.0 LS,2009.0,Inline 4 cylinder ,99000.0,0.9945544554455445,0.012147239263803681
Chevrolet,Chevrolet Spark 1.0 LS,2009.0,V6 cylinder ,99000.0,0.9945544554455445,0.012147239263803681
Chevrolet,Chevrolet Spark 1.0 LS,2009.0,Inline 3 cylinder ,99000.0,0.9945544554455445,0.012147239263803681
Chevrolet,Chevrolet Beat Diesel LT,2019.0,Inline 6 cylinder ,250000.0,0.9995049504950495,0.03067484662576687
Chevrolet,Chevrolet Beat Diesel LT,2019.0,V8 cylinder ,250000.0,0.9995049504950495,0.03067484662576687
Chevrolet,Chevrolet Beat Diesel LT,2019.0,Inline 4 cylinder ,250000.0,0.9995049504950495,0.03067484662576687
Chevrolet,Chevrolet Beat Diesel LT,2019.0,V6 cylinder ,250000.0,0.9995049504950495,0.03067484662576687
Chevrolet,Chevrolet Beat Diesel LT,2019.0,Inline 3 cylinder ,250000.0,0.9995049504950495,0.03067484662576687
Chevrolet,Hyundai,2015.0,Inline 6 cylinder ,120000.0,0.9975247524752475,0.014723926380368098
Chevrolet,Hyundai,2015.0,V8 cylinder ,120000.0,0.9975247524752475,0.014723926380368098
Chevrolet,Hyundai,2015.0,Inline 4 cylinder ,120000.0,0.9975247524752475,0.014723926380368098
Chevrolet,Hyundai,2015.0,V6 cylinder ,120000.0,0.9975247524752475,0.014723926380368098
